atan-problem-2-sqrt-weak-chunk-0070.smt2: "0.0003043780000000":str
atan-problem-2-sqrt-weak-chunk-0072.smt2: "0.0001538310000000":str
atan-problem-2-sqrt-weak-chunk-0074.smt2: "0.0001618650000000":str
atan-problem-2-sqrt-weak-chunk-0079.smt2: "0.0001401380000000":str
atan-problem-2-sqrt-weak-chunk-0084.smt2: "0.0001279830000000":str
atan-problem-2-sqrt-weak-chunk-0085.smt2: "0.0002730810000000":str
atan-problem-2-sqrt-weak-chunk-0089.smt2: "0.4950046610000000":str
atan-problem-2-sqrt-weak-chunk-0090.smt2: "0.0004014850000000":str
atan-problem-2-weak2-chunk-0007.smt2: "0.0001001090000000":str
atan-problem-2-weak2-chunk-0008.smt2: "0.0002269060000000":str
atan-problem-2-weak2-chunk-0010.smt2: "0.0001916260000000":str
atan-problem-2-weak2-chunk-0012.smt2: "0.0000973850000000":str
atan-problem-2-weak2-chunk-0015.smt2: "0.0001225350000000":str
atan-problem-2-weak2-chunk-0020.smt2: "0.0012187780000000":str
atan-problem-2-weak2-chunk-0022.smt2: "0.0009635800000000":str
atan-problem-2-weak2-chunk-0023.smt2: "0.0006887500000000":str
atan-problem-2-weak2-chunk-0025.smt2: "0.0012608340000000":str
atan-problem-2-weak2-chunk-0028.smt2: "0.0954421740000000":str
atan-problem-2-weak2-chunk-0029.smt2: "0.0006271340000000":str
atan-problem-2-weak2-chunk-0041.smt2: "0.0892423040000000":str
atan-problem-2-weak2-chunk-0043.smt2: "0.0014136880000000":str
atan-problem-2-weak2-chunk-0044.smt2: "0.0892488710000000":str
atan-problem-2-weak2-chunk-0046.smt2: "0.0001901590000000":str
atan-problem-2-weak2-chunk-0048.smt2: "0.0001299400000000":str
atan-problem-2-weak2-chunk-0050.smt2: "0.0001432130000000":str
atan-problem-2-weak2-chunk-0055.smt2: "0.0002221570000000":str
atan-problem-2-weak2-chunk-0058.smt2: "0.0001144320000000":str
atan-problem-2-weak2-chunk-0064.smt2: "0.0003034040000000":str
atan-problem-2-weak2-chunk-0069.smt2: "0.0923550100000000":str
atan-problem-2-weak2-chunk-0073.smt2: "0.0019398880000000":str
atan-problem-2-weak2-chunk-0079.smt2: "0.0013369910000000":str
atan-problem-2-weak2-chunk-0082.smt2: "0.0001650800000000":str
atan-problem-2-weak2-chunk-0085.smt2: "0.0002019660000000":str
atan-problem-2-weak2-chunk-0087.smt2: "0.0009226480000000":str
atan-problem-2-weak2-chunk-0091.smt2: "0.0034493640000000":str
atan-problem-2-weak2-chunk-0092.smt2: "0.0007169790000000":str
atan-problem-2-weak2-chunk-0094.smt2: "0.0001639630000000":str
atan-problem-2-weak2-chunk-0096.smt2: "0.0002963480000000":str
atan-problem-2-weak2-chunk-0099.smt2: "0.0009616310000000":str
atan-problem-2-weak2-chunk-0101.smt2: "0.0010139560000000":str
atan-problem-2-weak2-chunk-0102.smt2: "0.0018579410000000":str
atan-problem-2-weak2-chunk-0111.smt2: "0.0996061160000000":str
atan-problem-2-weak2-chunk-0112.smt2: "0.0008781470000000":str
atan-problem-2-weak2-chunk-0114.smt2: "0.1039942660000000":str
atan-problem-2-weak2-chunk-0115.smt2: "0.0018596880000000":str
atan-problem-2-weak2-chunk-0122.smt2: "0.0005240940000000":str
atan-problem-2-weak2-chunk-0135.smt2: "0.0011628290000000":str
atan-problem-2-weak-chunk-0029.smt2: "0.0001373460000000":str
atan-problem-2-weak-chunk-0031.smt2: "0.0001449610000000":str
atan-problem-2-weak-chunk-0032.smt2: "0.0007282960000000":str
atan-problem-2-weak-chunk-0036.smt2: "0.0002205490000000":str
atan-problem-2-weak-chunk-0038.smt2: "0.0002630250000000":str
atan-problem-2-weak-chunk-0041.smt2: "0.0004835740000000":str
atan-problem-2-weak-chunk-0042.smt2: "0.0007224280000000":str
atan-problem-2-weak-chunk-0045.smt2: "0.0006327270000000":str
atan-problem-2-weak-chunk-0049.smt2: "0.0009202030000000":str
atan-problem-2-weak-chunk-0052.smt2: "0.0003333070000000":str
atan-problem-2-weak-chunk-0055.smt2: "0.0001786350000000":str
atan-problem-2-weak-chunk-0056.smt2: "0.0002246030000000":str
atan-problem-2-weak-chunk-0057.smt2: "0.0004142760000000":str
atan-problem-2-weak-chunk-0061.smt2: "0.0005494560000000":str
atan-problem-2-weak-chunk-0063.smt2: "0.0003088560000000":str
atan-problem-2-weak-chunk-0067.smt2: "0.0002911810000000":str
atan-problem-2-weak-chunk-0070.smt2: "0.0001759800000000":str
atan-problem-2-weak-chunk-0072.smt2: "0.2980596020000000":str
atan-problem-2-weak-chunk-0074.smt2: "0.0004692560000000":str
atan-problem-2-weak-chunk-0076.smt2: "0.0003675390000000":str
atan-problem-2-weak-chunk-0080.smt2: "0.0002267690000000":str
atan-problem-2-weak-chunk-0086.smt2: "0.0010655200000000":str
atan-problem-2-weak-chunk-0087.smt2: "0.0012250130000000":str
atan-problem-2-weak-chunk-0091.smt2: "0.0002238340000000":str
atan-problem-2-weak-chunk-0094.smt2: "0.0001296620000000":str
atan-problem-2-weak-chunk-0096.smt2: "0.0002838450000000":str
atan-problem-2-weak-chunk-0101.smt2: "0.0001324560000000":str
atan-problem-2-weak-chunk-0103.smt2: "0.2961201210000000":str
atan-problem-2-weak-chunk-0104.smt2: "0.0008291150000000":str
atan-problem-2-weak-chunk-0107.smt2: "0.0002472390000000":str
atan-problem-2-weak-chunk-0108.smt2: "0.0002368300000000":str
atan-problem-2-weak-chunk-0109.smt2: "0.0001958920000000":str
atan-problem-2-weak-chunk-0112.smt2: "0.0002301930000000":str
atan-problem-2-weak-chunk-0113.smt2: "0.0007874080000000":str
atan-problem-2-weak-chunk-0122.smt2: "0.0002595350000000":str
atan-problem-2-weak-chunk-0123.smt2: "0.0016637500000000":str
atan-problem-2-weak-chunk-0126.smt2: "0.0010762860000000":str
atan-problem-2-weak-chunk-0127.smt2: "0.0025639840000000":str
atan-problem-2-weak-chunk-0129.smt2: "0.0003903160000000":str
atan-problem-2-weak-chunk-0132.smt2: "0.0021478900000000":str
atan-problem-2-weak-chunk-0133.smt2: "0.0010310850000000":str
atan-problem-2-weak-chunk-0134.smt2: "0.0003605550000000":str
atan-problem-2-weak-chunk-0137.smt2: "0.0011780040000000":str
atan-problem-2-weak-chunk-0140.smt2: "0.0002643550000000":str
atan-problem-2-weak-chunk-0143.smt2: "0.9582606620000000":str
atan-problem-2-weak-chunk-0155.smt2: "0.0007823130000000":str
atan-problem-2-weak-chunk-0156.smt2: "0.0002926510000000":str
atan-problem-2-weak-chunk-0158.smt2: "0.0013232530000000":str
atan-problem-2-weak-chunk-0164.smt2: "1.2022391210000001":str
atan-problem-2-weak-chunk-0166.smt2: "0.7714150420000000":str
atan-problem-2-weak-chunk-0169.smt2: "0.0001478990000000":str
atan-problem-2-weak-chunk-0174.smt2: "0.0004221090000000":str
atan-problem-2-weak-chunk-0178.smt2: "0.0005581320000000":str
atan-problem-2-weak-chunk-0179.smt2: "0.0010005720000000":str
atan-problem-2-weak-chunk-0181.smt2: "0.0017569040000000":str
atan-problem-2-weak-chunk-0183.smt2: "0.0006055690000000":str
atan-problem-2-weak-chunk-0186.smt2: "0.0014938720000000":str
atan-problem-2-weak-chunk-0187.smt2: "0.0013275290000000":str
atan-problem-2-weak-chunk-0188.smt2: "0.0012253890000000":str
atan-problem-2-weak-chunk-0191.smt2: "0.0027187030000000":str
atan-problem-2-weak-chunk-0199.smt2: "0.0002356470000000":str
atan-problem-2-weak-chunk-0201.smt2: "1.2750901139999999":str
atan-problem-2-weak-chunk-0214.smt2: "1.0386514460000000":str
atan-problem-2-weak-chunk-0219.smt2: "0.0001543290000000":str
atan-problem-2-weak-chunk-0221.smt2: "0.0002437540000000":str
atan-problem-2-weak-chunk-0224.smt2: "0.0001830420000000":str
atan-problem-2-weak-chunk-0225.smt2: "0.0004682950000000":str
atan-problem-2-weak-chunk-0228.smt2: "0.0001975040000000":str
atan-problem-2-weakT-chunk-0017.smt2: "0.0003250750000000":str
atan-problem-2-weakT-chunk-0020.smt2: "0.0001948490000000":str
