atan-problem-2-sqrt-weak-chunk-0068.smt2: "0.0003139490000000":str
atan-problem-2-sqrt-weak-chunk-0070.smt2: "0.0002741380000000":str
atan-problem-2-sqrt-weak-chunk-0072.smt2: "0.0001697210000000":str
atan-problem-2-sqrt-weak-chunk-0074.smt2: "0.0001801980000000":str
atan-problem-2-sqrt-weak-chunk-0079.smt2: "0.0001779630000000":str
atan-problem-2-sqrt-weak-chunk-0084.smt2: "0.0001114020000000":str
atan-problem-2-sqrt-weak-chunk-0085.smt2: "0.0002052720000000":str
atan-problem-2-sqrt-weak-chunk-0089.smt2: "0.4944200450000000":str
atan-problem-2-sqrt-weak-chunk-0090.smt2: "0.0006465480000000":str
atan-problem-2-weak2-chunk-0007.smt2: "0.0002259450000000":str
atan-problem-2-weak2-chunk-0008.smt2: "0.0003020760000000":str
atan-problem-2-weak2-chunk-0010.smt2: "0.0001457650000000":str
atan-problem-2-weak2-chunk-0012.smt2: "0.0001275360000000":str
atan-problem-2-weak2-chunk-0015.smt2: "0.0001482090000000":str
atan-problem-2-weak2-chunk-0020.smt2: "0.0006118350000000":str
atan-problem-2-weak2-chunk-0022.smt2: "0.0010484310000000":str
atan-problem-2-weak2-chunk-0023.smt2: "0.0004997350000000":str
atan-problem-2-weak2-chunk-0025.smt2: "0.0009559570000000":str
atan-problem-2-weak2-chunk-0028.smt2: "0.0864196030000000":str
atan-problem-2-weak2-chunk-0029.smt2: "0.0008333810000000":str
atan-problem-2-weak2-chunk-0041.smt2: "0.0965736850000000":str
atan-problem-2-weak2-chunk-0043.smt2: "0.0014065220000000":str
atan-problem-2-weak2-chunk-0044.smt2: "0.0929403020000000":str
atan-problem-2-weak2-chunk-0046.smt2: "0.0001775440000000":str
atan-problem-2-weak2-chunk-0048.smt2: "0.0002404040000000":str
atan-problem-2-weak2-chunk-0050.smt2: "0.0001544250000000":str
atan-problem-2-weak2-chunk-0055.smt2: "0.0003091300000000":str
atan-problem-2-weak2-chunk-0058.smt2: "0.0001712570000000":str
atan-problem-2-weak2-chunk-0064.smt2: "0.0003041710000000":str
atan-problem-2-weak2-chunk-0069.smt2: "0.0962257720000000":str
atan-problem-2-weak2-chunk-0073.smt2: "0.1234370580000000":str
atan-problem-2-weak2-chunk-0079.smt2: "0.0011228140000000":str
atan-problem-2-weak2-chunk-0082.smt2: "0.0001345200000000":str
atan-problem-2-weak2-chunk-0085.smt2: "0.0000967340000000":str
atan-problem-2-weak2-chunk-0087.smt2: "0.0009492520000000":str
atan-problem-2-weak2-chunk-0091.smt2: "0.0019971240000000":str
atan-problem-2-weak2-chunk-0092.smt2: "0.0007845590000000":str
atan-problem-2-weak2-chunk-0094.smt2: "0.0001327040000000":str
atan-problem-2-weak2-chunk-0096.smt2: "0.0002457120000000":str
atan-problem-2-weak2-chunk-0099.smt2: "0.0009022470000000":str
atan-problem-2-weak2-chunk-0101.smt2: "0.0004666290000000":str
atan-problem-2-weak2-chunk-0102.smt2: "0.0011594130000000":str
atan-problem-2-weak2-chunk-0111.smt2: "0.0971884340000000":str
atan-problem-2-weak2-chunk-0112.smt2: "0.0012863200000000":str
atan-problem-2-weak2-chunk-0114.smt2: "0.1074954030000000":str
atan-problem-2-weak2-chunk-0115.smt2: "0.0012256950000000":str
atan-problem-2-weak2-chunk-0122.smt2: "0.0008395960000000":str
atan-problem-2-weak2-chunk-0135.smt2: "0.0013843110000000":str
atan-problem-2-weak-chunk-0029.smt2: "0.0909233910000000":str
atan-problem-2-weak-chunk-0031.smt2: "0.0929387430000000":str
atan-problem-2-weak-chunk-0032.smt2: "0.1024925850000000":str
atan-problem-2-weak-chunk-0036.smt2: "0.0969853740000000":str
atan-problem-2-weak-chunk-0038.smt2: "0.0939668500000000":str
atan-problem-2-weak-chunk-0041.smt2: "0.0930748000000000":str
atan-problem-2-weak-chunk-0042.smt2: "0.0912024180000000":str
atan-problem-2-weak-chunk-0045.smt2: "0.1182868520000000":str
atan-problem-2-weak-chunk-0049.smt2: "0.0924986350000000":str
atan-problem-2-weak-chunk-0052.smt2: "0.0960781460000000":str
atan-problem-2-weak-chunk-0055.smt2: "0.1012348780000000":str
atan-problem-2-weak-chunk-0056.smt2: "0.0922412590000000":str
atan-problem-2-weak-chunk-0057.smt2: "0.0005486250000000":str
atan-problem-2-weak-chunk-0061.smt2: "0.0005870390000000":str
atan-problem-2-weak-chunk-0063.smt2: "0.0003288260000000":str
atan-problem-2-weak-chunk-0067.smt2: "0.0003593480000000":str
atan-problem-2-weak-chunk-0070.smt2: "0.0971865030000000":str
atan-problem-2-weak-chunk-0072.smt2: "0.0942126090000000":str
atan-problem-2-weak-chunk-0074.smt2: "0.0004493070000000":str
atan-problem-2-weak-chunk-0076.smt2: "0.0017411450000000":str
atan-problem-2-weak-chunk-0080.smt2: "0.0908360650000000":str
atan-problem-2-weak-chunk-0086.smt2: "0.0009734180000000":str
atan-problem-2-weak-chunk-0087.smt2: "0.0002918780000000":str
atan-problem-2-weak-chunk-0091.smt2: "0.0013556050000000":str
atan-problem-2-weak-chunk-0094.smt2: "0.0923864450000000":str
atan-problem-2-weak-chunk-0096.smt2: "0.0989091170000000":str
atan-problem-2-weak-chunk-0101.smt2: "0.1071102820000000":str
atan-problem-2-weak-chunk-0103.smt2: "0.0941410680000000":str
atan-problem-2-weak-chunk-0104.smt2: "0.0010009360000000":str
atan-problem-2-weak-chunk-0107.smt2: "0.0904717380000000":str
atan-problem-2-weak-chunk-0108.smt2: "0.0953076750000000":str
atan-problem-2-weak-chunk-0109.smt2: "0.0946015500000000":str
atan-problem-2-weak-chunk-0112.smt2: "0.1017458320000000":str
atan-problem-2-weak-chunk-0113.smt2: "0.0003995780000000":str
atan-problem-2-weak-chunk-0117.smt2: "0.0879926710000000":str
atan-problem-2-weak-chunk-0122.smt2: "0.0872699240000000":str
atan-problem-2-weak-chunk-0123.smt2: "0.0941168820000000":str
atan-problem-2-weak-chunk-0126.smt2: "0.0900730470000000":str
atan-problem-2-weak-chunk-0127.smt2: "0.1216223270000000":str
atan-problem-2-weak-chunk-0129.smt2: "0.0989039270000000":str
atan-problem-2-weak-chunk-0132.smt2: "0.0925233880000000":str
atan-problem-2-weak-chunk-0133.smt2: "0.0952505210000000":str
